timestamp,avg_ear,avg_mar,avg_tilt,avg_redness,perclos,blink_count,blink_rate_per_min,yawn_count,yawn_rate_per_min,nod_count,nod_rate_per_min,fatigue_score,state
2026-03-19 23:40:07,0.2577,0.1819,7.05,0.0,25.17,5,59.53,0,0.0,0,0.0,28.82,Alert
2026-03-19 23:40:12,0.2149,0.5792,4.71,0.0004,74.67,5,59.98,0,0.0,0,0.0,53.6,Mild Fatigue
2026-03-19 23:40:17,0.1146,0.9309,0.1,0.0,98.01,1,11.95,1,11.95,0,0.0,67.46,Fatigued
2026-03-19 23:40:22,0.2988,0.033,-2.09,0.0003,17.29,1,11.95,0,0.0,0,0.0,8.86,Alert
2026-03-19 23:40:27,0.3353,0.0329,-1.44,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,Alert
2026-03-19 23:40:32,0.349,0.0212,8.55,0.0,0.0,0,0.0,0,0.0,0,0.0,1.42,Alert
2026-03-19 23:40:37,0.3195,0.0141,-8.33,0.0,0.0,0,0.0,0,0.0,1,11.91,9.4,Alert
2026-03-19 23:40:42,0.3362,0.0298,-1.01,0.0,2.65,0,0.0,0,0.0,1,11.94,8.0,Alert
2026-03-19 23:40:47,0.3205,0.0258,4.82,0.0,12.78,1,11.91,0,0.0,0,0.0,3.12,Alert
2026-03-21 14:50:47,0.2615,0.1159,6.37,0.0,11.76,1,11.92,0,0.0,0,0.0,11.42,Alert
2026-03-21 14:50:52,0.2674,0.0765,0.57,0.0,7.95,3,35.99,0,0.0,0,0.0,17.51,Alert
2026-03-21 14:50:57,0.2443,0.0643,2.39,0.0,17.33,6,71.64,0,0.0,0,0.0,25.21,Alert
2026-03-21 14:51:02,0.2663,0.05,3.85,0.0,1.98,1,11.85,0,0.0,0,0.0,9.09,Alert
2026-03-21 14:51:07,0.2591,0.2563,4.55,0.0,22.83,4,47.68,0,0.0,0,0.0,26.41,Alert
2026-03-21 14:51:12,0.26,0.1841,8.04,0.0,13.33,5,59.8,1,11.96,0,0.0,33.8,Alert
2026-03-21 14:51:17,0.2827,0.0521,7.76,0.0,5.92,1,11.92,0,0.0,0,0.0,7.88,Alert
2026-03-21 14:51:22,0.3053,0.3417,4.45,0.0,0.0,0,0.0,0,0.0,0,0.0,2.09,Alert
2026-03-21 14:51:27,0.2064,0.9563,2.57,0.0,82.67,1,11.99,0,0.0,0,0.0,51.7,Mild Fatigue
2026-03-21 14:51:32,0.2399,0.2892,2.75,0.0,38.41,10,119.87,1,11.99,0,0.0,50.48,Mild Fatigue
2026-03-21 14:51:37,0.2804,0.016,5.8,0.0,6.67,2,23.95,0,0.0,0,0.0,11.88,Alert
2026-03-21 14:51:42,0.2638,0.0376,8.83,0.0,17.22,5,59.74,0,0.0,0,0.0,23.89,Alert
